"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1","GO:0005634",3.28553576705948e-104,1,1155,3788,"nucleus","CC"
"2","GO:0005654",4.89357192102301e-80,1,625,1658,"nucleoplasm","CC"
"3","GO:0005737",4.95167340709167e-42,1,1135,4701,"cytoplasm","CC"
"4","GO:0005829",1.21266004044909e-36,1,880,3462,"cytosol","CC"
"5","GO:0016607",2.27527415284616e-34,1,129,230,"nuclear speck","CC"
"6","GO:0005739",2.01719228036665e-31,1,312,946,"mitochondrion","CC"
"7","GO:0000398",2.34616651877835e-28,1,87,146,"mRNA splicing, via spliceosome","BP"
"8","GO:0003723",3.57556462417785e-26,1,301,1005,"RNA binding","MF"
"9","GO:0005730",5.44765780348986e-25,1,197,520,"nucleolus","CC"
"10","GO:0005743",1.44871826955787e-22,1,104,246,"mitochondrial inner membrane","CC"
"11","GO:0008380",6.59942465976281e-20,1,65,119,"RNA splicing","BP"
"12","GO:0005874",8.55789324703341e-17,1,109,251,"microtubule","CC"
"13","GO:0000278",5.09248803027605e-16,1,55,96,"mitotic cell cycle","BP"
"14","GO:0006397",5.41524671479347e-16,1,69,149,"mRNA processing","BP"
"15","GO:0003729",5.59239109057131e-16,1,57,112,"mRNA binding","MF"
"16","GO:0008017",4.8282728041113e-15,1,79,167,"microtubule binding","MF"
"17","GO:0005681",7.36279779237816e-15,1,45,79,"spliceosomal complex","CC"
"18","GO:0071005",1.28776322319465e-14,1,32,45,"U2-type precatalytic spliceosome","CC"
"19","GO:0003682",2.07976099827301e-13,1,119,343,"chromatin binding","MF"
"20","GO:0042393",2.71615452092785e-13,1,48,87,"histone binding","MF"
"21","GO:0071013",3.4976439107189e-13,1,36,59,"catalytic step 2 spliceosome","CC"
"22","GO:0005747",2.49179749155887e-12,1,19,25,"mitochondrial respiratory chain complex I","CC"
"23","GO:0000776",7.94158714038988e-12,1,32,49,"kinetochore","CC"
"24","GO:0045892",1.0874459530279e-11,1,96,295,"negative regulation of DNA-templated transcription","BP"
"25","GO:0048471",1.34718495081713e-11,1,164,546,"perinuclear region of cytoplasm","CC"
"26","GO:0000381",1.37584996073883e-11,1,25,35,"regulation of alternative mRNA splicing, via spliceosome","BP"
"27","GO:0005814",4.17860781382578e-11,1,56,120,"centriole","CC"
"28","GO:0005856",1.26731277901541e-10,1,104,323,"cytoskeleton","CC"
"29","GO:0005819",1.28445637861039e-10,0.99999999997516,45,90,"spindle","CC"
"30","GO:0000777",1.29132617986289e-10,0.999999999983097,30,51,NA,NA
"31","GO:0051082",1.41371921350427e-10,0.999999999974048,39,88,"unfolded protein binding","MF"
"32","GO:0015030",1.43271385891729e-10,0.999999999994667,18,21,"Cajal body","CC"
"33","GO:0036064",1.8449923192781e-10,0.999999999958161,55,123,"ciliary basal body","CC"
"34","GO:0006457",3.78541958366755e-10,0.999999999919734,47,105,"protein folding","BP"
"35","GO:0005694",5.12306304988177e-10,0.99999999985613,54,125,"chromosome","CC"
"36","GO:0046034",6.20818200378969e-10,0.999999999975665,17,20,"ATP metabolic process","BP"
"37","GO:0006886",9.33208222566897e-10,1,77,211,"intracellular protein transport","BP"
"38","GO:0003779",1.01271291746501e-09,1,83,239,"actin binding","MF"
"39","GO:0005686",1.72210317078552e-09,0.99999999995356,14,16,"U2 snRNP","CC"
"40","GO:0006325",1.73824584663189e-09,0.999999999629064,37,72,"chromatin organization","BP"
"41","GO:0031514",2.35910219051524e-09,0.999999999378314,43,97,"motile cilium","CC"
"42","GO:0005759",2.68302813346059e-09,1,70,199,"mitochondrial matrix","CC"
"43","GO:0005783",2.99055410013906e-09,1,205,776,"endoplasmic reticulum","CC"
"44","GO:0005930",3.61599576613464e-09,0.999999999061167,43,89,"axoneme","CC"
"45","GO:0005689",4.01665982770429e-09,0.999999999763048,16,21,"U12-type spliceosomal complex","CC"
"46","GO:0000307",5.54543633677115e-09,0.99999999992374,11,12,"cyclin-dependent protein kinase holoenzyme complex","CC"
"47","GO:0045292",6.13794445821507e-09,0.999999999625595,16,21,"mRNA cis splicing, via spliceosome","BP"
"48","GO:0016192",6.99768975474633e-09,0.999999997739769,52,131,"vesicle-mediated transport","BP"
"49","GO:0031145",1.13520839812913e-08,0.99999999878226,20,30,"anaphase-promoting complex-dependent catabolic process","BP"
"50","GO:0046982",1.40758277510876e-08,1,86,278,"protein heterodimerization activity","MF"
"51","GO:0006511",1.45495581007563e-08,1,91,276,"ubiquitin-dependent protein catabolic process","BP"
"52","GO:0003677",1.73224022505975e-08,1,242,1209,"DNA binding","MF"
"53","GO:0005682",1.92983300809364e-08,0.999999999442128,12,14,"U5 snRNP","CC"
"54","GO:0006974",2.40590518080639e-08,1,73,224,"cellular response to DNA damage stimulus","BP"
"55","GO:0005685",3.78825066246374e-08,0.999999998483597,12,15,"U1 snRNP","CC"
"56","GO:0046540",3.85353397177652e-08,0.99999999659734,16,24,"U4/U6 x U5 tri-snRNP complex","CC"
"57","GO:0003713",3.85537830977745e-08,0.999999988605114,42,98,"transcription coactivator activity","MF"
"58","GO:0000086",4.16948486520393e-08,0.999999991777912,28,52,"G2/M transition of mitotic cell cycle","BP"
"59","GO:0045944",4.61796105451673e-08,1,158,612,"positive regulation of transcription by RNA polymerase II","BP"
"60","GO:0042470",4.63832887979446e-08,0.999999987676966,36,82,"melanosome","CC"
"61","GO:0006338",6.36759483651055e-08,0.999999987576757,27,50,"chromatin remodeling","BP"
"62","GO:0031072",6.46193038511416e-08,0.999999989915702,22,39,"heat shock protein binding","MF"
"63","GO:0005687",8.23933078908867e-08,1,8,8,"U4 snRNP","CC"
"64","GO:0006368",9.59562954851896e-08,0.999999990935598,17,24,"transcription elongation by RNA polymerase II promoter","BP"
"65","GO:0007059",9.94088004078171e-08,0.999999976129353,31,66,"chromosome segregation","BP"
"66","GO:0005762",1.05301124862687e-07,0.999999985061243,18,37,"mitochondrial large ribosomal subunit","CC"
"67","GO:1990904",1.07669604663978e-07,0.99999996446484,45,115,"ribonucleoprotein complex","CC"
"68","GO:0000123",1.37307812702195e-07,0.999999986653317,17,24,"histone acetyltransferase complex","CC"
"69","GO:1901990",1.38447348414721e-07,0.999999984323048,18,27,"regulation of mitotic cell cycle phase transition","BP"
"70","GO:0006120",1.49599263647921e-07,1,7,7,"mitochondrial electron transport, NADH to ubiquinone","BP"
"71","GO:0005794",1.51961145724202e-07,1,196,751,"Golgi apparatus","CC"
"72","GO:0051087",1.60089136573958e-07,0.999999956462813,34,79,"chaperone binding","MF"
"73","GO:0000122",1.87217710172906e-07,1,124,454,"negative regulation of transcription by RNA polymerase II","BP"
"74","GO:0019901",2.30736563760484e-07,1,103,353,"protein kinase binding","MF"
"75","GO:0032981",2.30782544596062e-07,0.99999997571378,15,25,"mitochondrial respiratory chain complex I assembly","BP"
"76","GO:0006468",3.03671858960661e-07,1,100,316,"protein phosphorylation","BP"
"77","GO:0016363",3.3319420272855e-07,0.999999904187187,36,79,"nuclear matrix","CC"
"78","GO:0050681",3.5380234992383e-07,0.999999977411585,13,17,"nuclear androgen receptor binding","MF"
"79","GO:0061631",3.8363453672859e-07,0.999999946345526,18,31,"ubiquitin conjugating enzyme activity","MF"
"80","GO:0071004",3.97301306760198e-07,0.999999979740893,12,15,"U2-type prespliceosome","CC"
"81","GO:0008137",4.46023952392966e-07,0.9999999672295,12,18,"NADH dehydrogenase (ubiquinone) activity","MF"
"82","GO:0006366",4.95649186727859e-07,0.999999845924317,37,93,"transcription by RNA polymerase II","BP"
"83","GO:0050821",5.18045809255606e-07,0.999999822762789,43,109,"protein stabilization","BP"
"84","GO:0007049",6.44184158838194e-07,1,116,459,"cell cycle","BP"
"85","GO:0000790",7.81281185046546e-07,0.999999755000747,64,213,NA,NA
"86","GO:0005096",8.03047769280426e-07,0.999999685935619,53,136,"GTPase activator activity","MF"
"87","GO:0017053",1.12962799360863e-06,0.999999844166786,17,28,"transcription repressor complex","CC"
"88","GO:0006241",1.4082153581208e-06,1,8,8,"CTP biosynthetic process","BP"
"89","GO:0004550",1.51033879113118e-06,0.99999989597608,12,16,"nucleoside diphosphate kinase activity","MF"
"90","GO:0030433",1.57972058731361e-06,0.9999995964255,28,58,"ubiquitin-dependent ERAD pathway","BP"
"91","GO:0071339",1.580122497231e-06,0.999999848130834,14,20,"MLL1 complex","CC"
"92","GO:0043130",1.76335071137244e-06,0.999999537511308,28,61,"ubiquitin binding","MF"
"93","GO:0090307",1.78121128749431e-06,0.999999772992616,16,25,"mitotic spindle assembly","BP"
"94","GO:0060294",1.89562712263671e-06,0.999999894383652,11,14,"cilium movement involved in cell motility","BP"
"95","GO:0006406",2.0638408267377e-06,0.999999558339919,23,44,"mRNA export from nucleus","BP"
"96","GO:0031625",2.24991312969659e-06,0.999999246795779,74,250,"ubiquitin protein ligase binding","MF"
"97","GO:0003755",2.32851606357554e-06,0.999999539835818,20,41,"peptidyl-prolyl cis-trans isomerase activity","MF"
"98","GO:0007018",2.54981949313477e-06,0.999999189465698,36,79,"microtubule-based movement","BP"
"99","GO:0000226",3.4165808307026e-06,0.999999085819723,27,60,"microtubule cytoskeleton organization","BP"
"100","GO:0043981",4.06360301988285e-06,0.999999752505605,11,14,"histone H4-K5 acetylation","BP"
